term,estimate,std.error,statistic,p.value
scale(engagement),0.24203033931791162,0.011527609716727841,20.995709020812765,5.279089292768864e-93
scale(manager_effectiveness),0.2187230507174033,0.01170545520593418,18.685565564893178,8.157907454409593e-75
scale(psychological_safety),0.1746172284780477,0.011762216482780025,14.845605735423137,1.3642581612524029e-48
scale(growth_development),0.1746417265101755,0.01115539093643869,15.655365867969225,1.0979014044662893e-53
scale(workload_sustainability),0.16501488662875058,0.011076530333869242,14.897705477696078,6.52137058559298e-49
scale(belonging),0.2001167977025744,0.011657979304625126,17.165650450518566,8.123012998107304e-64
